ID;Name;Besucht;Breitengrad;Längengrad;Hauptheft;Baudensteig;Burgen + Schlösser;Goethe im Harz;Goslar Wandert;Harzer Grenzweg;Harzer Hexenstieg;Harzer Steiger;Karstwanderweg;Kloster Wanderweg;Lutherweg;Nationalpark Harz;Quedlinburg;Selketalstieg;Steinway-Trail;Dorfrunde Seesen;Deister Wandernadel;Huy Fallstein
131;Kaysereiche (Schutzhütte) ;;51.79208;10.27573;1;;;;;;;;;;;;;;;;;
132;Schwarzenberg. Köte Brockenblick ;;51.80594;10.44558;1;;;1;;;;;;;;;;;;;;
133;Förster-Ludewig-Platz ;;51.80347;10.48783;1;;;;;;1;1;;;;;;;;;;
134;Gustav-Baumann-Weg (NPH) ;;51.78544;10.46754;1;;;;;;;;;;;1;;;;;;
135;Wolfswarte ;;51.79024;10.50364;1;;;;;;;;;;;1;;;;;;
136;Eckersprung ;;51.78772;10.58642;1;;;1;;1;1;;;;;1;;;;;;
137;Bärenbrucher Teich ;;51.77606;10.35100;1;;;;;;1;1;;;;;;;;;;
138;Braunseck ;;51.76677;10.35523;1;;;;;;;;;;;;;;;;;
139;Kuckholzklippe ;;51.76632;10.31383;1;;;;;;;;;;;;;;;;;
140;Eselsplatz ;;51.74620;10.30148;1;;;1;;;1;;;;;;;;;;;
141;Oberer Hahnebalzer Teich ;;51.78476;10.28608;1;;;;;;;;;;;;;;;;;
142;Mandolinenhütte ;;51.89504;10.27904;1;;;;;;;;;;;;;;1;;;
143;Köte Schindelkopf ;;51.72322;10.33626;1;;;;;;;;;;;;;;;;;
144;Hanskühnenburg ;;51.72814;10.40336;1;1;;1;;;;;;;;1;;;;;;
145;Schmidts-Denkmal ;;51.77710;10.38783;1;;;;;;;;;;;;;;;;;
146;Großes Wehr ;;51.76260;10.44573;1;;;;;;;1;;;;1;;;;;;
147;Eleonorenblick ;;51.75382;10.39834;1;;;;;;;;;;;;;;;;;
148;Naturmythenpfad (NPH) ;;51.72311;10.58188;1;;;;;;;;;;;1;;;;;;
149;Kleine Oker ;;51.79513;10.47567;1;;;;;;;;;;;;;;;;;
150;Großer Knollen ;;51.66740;10.43012;1;1;;;;;;;;;;;;;;;;
151;Ruine Scharzfels ;;51.62885;10.40893;1;1;;;;;;;1;;;;;;;;;
152;Knollenkreuz ;;51.64342;10.44260;1;;;;;;;;;;;;;;;;;
153;Goedeckenplatz ;;51.68840;10.47205;1;;;;;;;;;;;;;;;;;
154;Dreibrodestein ;;51.73224;10.51136;1;;;;;;;;;;;1;;;;;;
155;Rehberger Grabenhaus ;;51.72925;10.53807;1;;;1;;;1;1;;;;1;;;;;;
156;Wurmberg-Baude ;;51.75643;10.61868;1;;;;;1;;;;;;;;;;;;
157;Kapellenfleck ;;51.69071;10.59574;1;;;;;;;;;;;;;;;;;
158;Hassenstein ;;51.63829;10.52495;1;;;;;;;;;;;;;;;;;
159;Stöberhai ;;51.65653;10.55408;1;;;;;1;;;;;;;;;;;;
160;Helenenruh ;;51.64226;10.61077;1;;;;;;;;;;;;;;;;;
161;Stephanshütte ;;51.63092;10.54271;1;;;;;;;;;;;;;;;;;
162;Kreuztalsklippe ;;51.62819;10.58487;1;;;;;;;;;;;;;;;;;
163;Gipfelblick am Kaiserweg ;;51.65318;10.60129;1;;;;;;;;;;;;;;;;;
164;Stiefmutter ;;51.62310;10.64326;1;;;;;1;;;;;;;;;;;;
165;Wendel-Eiche ;;51.62454;10.65709;1;;;;;1;;;;;;;;;;;;
166;Sachsensteinhütte ;;51.58073;10.58385;1;;;;;1;;;1;;;;;;;;;
167;Hexentanzplatz (= Ellricher Blick) ;;51.58104;10.64591;1;;;;;1;;;1;;;;;;;;;
168;Dreieckiger Pfahl ;;51.78133;10.58055;1;;;;;1;;;;;;1;;;;;;
169;Molkenhaus ;;51.85568;10.57310;1;;;;;;;;;;;1;;;;;;
170;Rabenklippe ;;51.86502;10.60532;1;;;;;1;;;;;;1;;;;;;
171;Altarklippe (oberhalb d. Granestausees) ;;51.88803;10.33153;1;;;;1;;;;;;;;;;;;;
172;Katzsohlteich ;;51.63703;10.96838;1;;;;;;;1;;;;;;1;;;;
173;Waldwiese Hirschbüchenkopf ;;51.63769;11.02274;1;;;;;;;;;;;;;1;;;;
174;Hohnehof ;;51.77536;10.71920;1;;;;;;;;;;;1;;;;;;
175;Schaubergwerk Glasebach ;;51.61185;11.06510;1;;;;;;;1;;;;;;1;;;;
176;Uhlenköpfe Hänichen ;;51.63218;11.08296;1;;;;;;;;;;;;;1;;;;
177;Verlobungsurne Alexisbad ;;51.64635;11.11478;1;;;;;;;;;;;;;1;;;;
178;Hirschgrund (am Gasthaus Königsruhe) ;;51.73363;11.01775;1;;;;;;1;;;;;;;;;;;
179;IV. Friedrichshammer ;;51.66857;11.16581;1;;;;;;;1;;;;;;1;;;;
180;Alter Kohlenschacht ;;51.70738;11.25546;1;;;;;;;;;;;;;1;;;;
181;Forstmeister Tannen ;;51.71611;11.21000;1;;;;;;;;;;;;;1;;;;
182;Schirm ;;51.69141;11.18253;1;;;;;;;;;;;;;;;;;
183;Försterblick Gernrode ;;51.71769;11.13090;1;;;;;;;;;;;;1;1;;;;
184;Bärendenkmal ;;51.68222;11.09589;1;;;;;;;;;;;;1;;;;;
185;Preußenturm ;;51.72378;11.11917;1;;;;;;;;;;;;1;1;;;;
186;Anhaltinischer Salstein ;;51.71634;11.10558;1;;;;;;;;;;;;1;;;;;
187;Lauenburg ;;51.72632;11.08071;1;;1;;;;;;;;;;;;;;;
188;Teufelsmauer Weddersleben ;;51.75603;11.08734;1;;;1;;;;;;;;;;;;;;
189;Große Teufelsmühle ;;51.68488;11.07928;1;;;;;;;;;;;;;;;;;
190;Bergrat-Müller-Teich ;;51.67948;11.06500;1;;;;;;;1;;;;;;;;;;
191;Laubtalblick ;;51.67238;11.03650;1;;;;;;;;;;;;;;;;;
192;Historischer Gipsbrennofen ;;51.57689;10.57524;1;;;;;1;;;1;;;;;;;;;
193;Stahlquelle ;;51.60795;11.13672;1;;;;;;;1;;;;;;;;;;
194;Hellergrund ;;51.61791;11.08133;1;;;;;;;1;;;;;;;;;;
195;Köthener Hütte ;;51.66090;11.12627;1;;;;;;;;;;;;;1;;;;
196;Bremer Teich ;;51.68493;11.11232;1;;;;;;;;;;;;1;;;;;
197;Burgruine Anhalt ;;51.66807;11.19318;1;;1;;;;;;;;;;;1;;;;
198;Glockensteine ;;51.51768;10.85805;1;;;;;;;;1;;;;;;;;;
199;Bismarckturm ;;51.71425;11.25879;1;;;;;;;;;;;;;;;;;
200;Burg Falkenstein ;;51.68180;11.26595;1;;1;;;;;;;;;;;1;;;;
201;Konradsburg ;;51.71400;11.34800;1;;1;;;;;;;;;;;;;;;
202;Landschaftspark Degenershausen ;;51.68540;11.30768;1;;;;;;;;;;;;;;;;;
203;Schutzhütte am Mettenberg ;;51.67912;11.23257;1;;;;;;;;;;;;;1;;;;
204;Selkesicht an der Ackeburg ;;51.68547;11.25443;1;;;;;;;;;;;;;1;;;;
205;Rastplatz unterhalb des Clusberges ;;51.66342;11.30631;1;;;;;;;;;;;;;;;;;
206;Hahnestein ;;51.67538;10.64158;1;;;;;;;;;;;;;;;;;
207;Mausoleum ;;51.70070;11.28338;1;;;;;;;;;;;;;1;;;;
208;Burgruine Grillenburg ;;51.53450;11.31443;1;;;;;;;;;;;;;;;;;
209;Moltkewarte (Aussichtsturm) ;;51.49308;11.27100;1;;;;;;;;;;;;;;;;;
210;Schöne Aussicht Hainrode ;;51.50133;11.14183;1;;;;;;;;1;;;;;;;;;
211;Killiansteiche ;;51.60758;11.01495;1;;;;;;;;;;;;;;;;;
212;An der Queste ;;51.49327;11.11720;1;;;;;;;;1;;;;;;;;;
213;Bauerngraben ;;51.48897;11.07794;1;;;;;;;;1;;;;;;;;;
214;Reesbergdoline ;;51.49778;10.94777;1;;;;;;;;1;;;;;;;;;
215;Josephshöhe (Auerberg) ;;51.58061;11.00553;1;;;;;;;;;;1;;;;;;;
216;Lutherbuche ;;51.57180;10.95271;1;;;;;;;;;;1;;;;;;;
217;Sonnenkappe Oderteich (NPH) ;;51.77944;10.53248;1;;;;;;;1;;;;1;;;;;;
218;Neustädter Talsperre ;;51.57888;10.86333;1;;;;;;;;;;;;;;;;;
219;Wippertalsperre ;;51.56956;11.19266;1;;;;;;;;;;1;;;;;;;
220;Schutzhütte Phillippsgruß ;;51.60973;10.53118;1;;;;;;;;;;;;;;;;;
221;Jungfernklippe ;;51.80420;10.51382;1;;;;;;;;;;;;;;;;;
222;Bergbaulehrpfad Wettelrode ;;51.52038;11.27694;1;;;;;;;1;1;;;;;;;;;
9900;Grenzturm Rhoden;;52.01073;10.63682;;;;;;1;;;;;;;;;;;;1
9901;Jungborn;;51.88569;10.64628;;;;;;1;;;;;;1;;;;;;
9902;Zweiländereiche;;51.61686;10.63886;;;;;;1;;;;;;;;;;;;
9903;Drei-Länder-Stein;;51.64153;10.70233;;;;;;1;;;;;;;;;;;;
9905;Glasmanufaktur Harzkristall;;51.86804;10.87796;;;;;;;;;;;;;;;;;;
9906;Museum für Naturkunde Magdeburg;;52.12535;11.62947;;;;;;;;;;;;;;;;;;
9908;„Kleiner Harz“ Werningerode;;51.84477;10.78156;;;;;;;;;;;;;;;;;;
9909;Ahornpark Ilfeld;;51.58200;10.77350;;;;;;;;;;;;;;;;;;
9910;Baumwipfelpfad Bad Harzburg;;51.86993;10.56311;;;;;;;;;;;;;;;;;;
9915;Titan-RT;;51.74079;10.89409;;;;;;;;;;;;;;;;;;
9916;Transall;;51.83947;10.77279;;;;;;;;;;;;;;;;;;
9918;Museum im Ritterhaus;;51.72535;10.25415;;;;;;;;;;;;;;;;;;
9919;Waldlehrpfad Bärenstein Heimburg;;51.81967;10.91597;;;;;;;;;;;;;;;;;;
9921;Rodelhaus Braunlage;;51.74527;10.61562;;;;;;;;;;;;;;;;;;
9922;Tourist Info Wernigerode;;51.83297;10.78460;;;;;;;;;;;;;;;;;;
9923;Märchenweg Wernigerode;;51.81564;10.77664;;;;;;;;;;;;;;;;;;
9924;Pullman City;;51.70193;10.86858;;;;;;;;;;;;;;;;;;
9925;Jagdschloss Windenhütte;;51.70099;10.94536;;;;;;;;;;;;;;;;;;
9926;Schausägewerk Ehrt;;51.76768;10.81493;;;;;;;;;;;;;;;;;;
9927;Auerhuhngehege;;51.68975;10.34850;;;;;;;;;;;;1;;;;;;
9928;Hasseröder Ferienpark;;51.82086;10.75707;;;;;;;;;;;;;;;;;;
9929;Waldbad Elend;;51.74624;10.69673;;;;;;;;;;;;;;;;;;
9932;Waldcafe Forellenteich;;51.70766;10.60210;;;;;;;;;;;;;;;;;;
9933;Stammhaus Schierker Feuerstein;;51.76437;10.66184;;;;;;;;;;;;;;;;;;
9934;Argenta Wohnpark;;51.82150;10.74440;;;;;;;;;;;;;;;;;;
9935;Park Hohenrode;;51.51498;10.78739;;;;;;;;;;;;;;;;;;
9939;Bienenpfad Wieda;;51.63270;10.58368;;;;;;;;;;;;;;;;;;
9940;Bundeswehr-Ausstellung;;51.78846;10.95969;;;;;;;;;;;;;;;;;;
9941;Borkenkäferpfad;;51.85843;10.65948;;;;;;;;;;;;1;;;;;;
9942;Waldwandel am Brocken;;51.77242;10.64228;;;;;;;;;;;;1;;;;;;
9943;Waldwandelweg;;51.80290;10.55248;;;;;;;;;;;;1;;;;;;
9944;Brockengarten;;51.79950;10.61785;;;;;;;;;;;;1;;;;;;
9945;Löwenzahn-Entdeckerpfad;;51.77147;10.72344;;;;;;;;;;;;1;;;;;;
9946;HarzWaldHaus;;51.87202;10.56100;;;;;;;;;;;;1;;;;;;
9947;Skywalk am Sonnenstein;;51.49740;10.38480;;;;;;;;;;;;;;;;;;
9948;Baumschwebebahn;;51.87067;10.56995;;;;;;;;;;;;;;;;;;
9949;Oder Minigolf;;51.63122;10.47604;;;;;;;;;;;;;;;;;;
9950;Harzmuseum;;51.83277;10.78352;;;;;;;;;;;;;;;;;;
9951;Rotes Sofas;;51.66578;10.70636;;;;;;;;;;;;;;;;;;
9952;United Kids Foundation;;51.80396;10.51154;;;;;;;;;;;;;;;;;;
9953;Holzkirche Elend;;51.74347;10.68469;;;;;;;;;;;;;;;;;;
9954;Startpunkt Harzer Hexenstieg in Osterode;;51.72769;10.25265;;;;;;;;;;;;;;;;;;
9955;Sonderstempel 10 Jahre Nationales Naturerbe in Blankenburg;;51.77743;10.91500;;;;;;;;;;;;;;;;;;
9956;Sonderstempelstelle „Wald für morgen“;;51.89863;10.44762;;;;;;;;;;;;;;;;;;
9957;Sonderstempelstelle 200 Jahre Kneipp;;51.62016;10.48083;;;;;;;;;;;;;;;;;;
9958;Pastorenstein;;51.82442;10.96222;;;;;;;;;;;;;;;;;;
9960;Matthias Schmidt Berg;;51.70400;10.52427;;;;;;;;;;;;;;;;;;
9961;Ankenberg;;51.49573;11.18474;;;;;;;;;1;;;;;;;;;
9962;Pölsfeld;;51.52542;11.35871;;;;;;;;;1;;;;;;;;;
9963;Steinholzwarte;;51.81779;11.10401;;;;;;;;;;;;;1;;;;;
9964;Hammwarte;;51.80001;11.13613;;;;;;;;;;;;;1;;;;;
9965;Lehof;;51.81108;11.16612;;;;;;;;;;;;;1;;;;;
9966;Blicklingswarte;;51.75994;11.17373;;;;;;;;;;;;;1;;;;;
9967;Altenburgwarte;;51.78260;11.11617;;;;;;;;;;;;;1;;;;;
9968;1100 jähriges Jubiläum Goslar;;51.90607;10.42756;;;;;1;;;;;;;;1;;;;;
9969;Aholzwarte;;51.75569;11.11224;;;;;;;;;;;;;1;;;;;
9970;Stabkirche Stiege;;51.66139;10.88051;;;;;;;;;;;;;;;;;;
9971;Cafe Winuwuk;;51.87703;10.54016;;;;;;;;;;;;;;;;;;
9972;Biologisches Schwimmbad am Thie;;51.79512;10.95474;;;;;;;;;;;;;;;;;;
9973;Servicebüro Harzer Wandernadel;;51.78844;10.95984;;;;;;;;;;;;;;;;;;
9977;Goetheweg;;51.80705;10.46006;;;;;;;;;;;;;;;;;;
9981;Urwaldstieg;;51.79034;10.64106;;;;;;;;;;;;;;;;;;
9985;Wasserweg Stromabwärts;;51.82223;10.81050;;;;;;;;;;;;;;;;;;
9986;Wasserweg Stromaufwärts;;51.83428;10.77857;;;;;;;;;;;;;;;;;;
9987;25 Jahre Nationalparkhaus Sankt Andreasberg;;51.71153;10.51568;;;;;;;;;;;;;;;;;;
9988;Wildnispfad Altenau;;51.79135;10.45687;;;;;;;;;;;;;;;;;;
9990;Waldbewohner Apartments;;51.85611;10.67182;;;;;;;;;;;;;;;;;;
9991;Feuerwehrmuseum Wernigerode;;51.83383;10.78933;;;;;;;;;;;;;;;;;;
9992;Botanischer Garten Halle;;51.48946;11.96048;;;;;;;;;;;;;;;;;;
2013-04;Kelle;;51.57486;10.71744;;;;;;;;;1;;;;;;;;;
2023-04;Brockenblick am Lehrpfad;;51.58275;10.55815;;;;;;;;;;;;;;;;;;
9959,1;Harzgeröder Kugelspaß Station 1;;51.64274;11.14176;;;;;;;;;;;;;;;;;;
9959,2;Harzgeröder Kugelspaß Station 2;;51.64274;11.14176;;;;;;;;;;;;;;;;;;
